episode,global_step,ep_reward,ep_native,ep_material,ep_len,epsilon,mean_loss,reward_ma100
0,2000,0.0,0.0,0.0,2000,0.9873,0.0,0.0
1,4000,0.0,0.0,0.0,2000,0.9747,0.0,0.0
2,6000,0.0,0.0,0.0,2000,0.962,0.00094,0.0
3,8000,0.0,0.0,0.0,2000,0.9493,0.00046,0.0
4,10000,0.0,0.0,0.0,2000,0.9367,0.00019,0.0
5,12000,-0.6,0.0,-6.0,2000,0.924,0.0002,-0.1
6,14000,0.0,0.0,0.0,2000,0.9113,0.00018,-0.086
7,16000,0.0,0.0,0.0,2000,0.8987,0.00013,-0.075
8,18000,0.0,0.0,0.0,2000,0.886,0.00012,-0.067
9,20000,0.0,0.0,0.0,2000,0.8733,7e-05,-0.06
10,22000,0.0,0.0,0.0,2000,0.8607,5e-05,-0.055
11,24000,0.0,0.0,0.0,2000,0.848,5e-05,-0.05
12,26000,-0.6,0.0,-6.0,2000,0.8353,3e-05,-0.092
13,28000,0.0,0.0,0.0,2000,0.8227,3e-05,-0.086
14,30000,0.0,0.0,0.0,2000,0.81,2e-05,-0.08
15,32000,0.0,0.0,0.0,2000,0.7973,4e-05,-0.075
16,34000,-0.6,0.0,-6.0,2000,0.7847,5e-05,-0.106
17,36000,0.0,0.0,0.0,2000,0.772,4e-05,-0.1
18,38000,0.0,0.0,0.0,2000,0.7593,3e-05,-0.095
19,40000,0.0,0.0,0.0,2000,0.7467,2e-05,-0.09
20,42000,0.0,0.0,0.0,2000,0.734,2e-05,-0.086
21,44000,0.0,0.0,0.0,2000,0.7213,3e-05,-0.082
22,46000,0.0,0.0,0.0,2000,0.7087,2e-05,-0.078
23,48000,0.0,0.0,0.0,2000,0.696,2e-05,-0.075
24,50000,0.0,0.0,0.0,2000,0.6833,2e-05,-0.072
25,52000,0.0,0.0,0.0,2000,0.6707,2e-05,-0.069
26,54000,-0.8,0.0,0.0,2000,0.658,0.00011,-0.096
27,56000,-0.5,0.0,-5.0,2000,0.6453,0.00023,-0.111
28,58000,0.0,0.0,0.0,2000,0.6327,0.00026,-0.107
29,60000,0.0,0.0,0.0,2000,0.62,0.00025,-0.103
30,62000,0.0,0.0,0.0,2000,0.6073,0.00021,-0.1
31,64000,0.0,0.0,0.0,2000,0.5947,0.00017,-0.097
32,66000,0.0,0.0,0.0,2000,0.582,0.00016,-0.094
33,68000,0.0,0.0,0.0,2000,0.5693,0.00014,-0.091
34,70000,0.0,0.0,0.0,2000,0.5567,0.00014,-0.089
35,72000,0.0,0.0,0.0,2000,0.544,0.00012,-0.086
36,74000,0.0,0.0,0.0,2000,0.5313,8e-05,-0.084
37,76000,-0.7,0.0,-7.0,2000,0.5187,9e-05,-0.1
38,78000,-0.7,0.0,-7.0,2000,0.506,8e-05,-0.115
39,80000,0.0,0.0,0.0,2000,0.4933,6e-05,-0.113
40,82000,-0.4,0.0,-4.0,2000,0.4807,6e-05,-0.12
41,84000,0.0,0.0,0.0,2000,0.468,7e-05,-0.117
42,86000,0.0,0.0,0.0,2000,0.4553,8e-05,-0.114
43,88000,0.0,0.0,0.0,2000,0.4427,8e-05,-0.111
44,90000,-0.5,0.0,-5.0,2000,0.43,7e-05,-0.12
45,92000,-0.8,0.0,-8.0,2000,0.4173,6e-05,-0.135
46,94000,0.0,0.0,0.0,2000,0.4047,6e-05,-0.132
47,96000,0.0,0.0,0.0,2000,0.392,6e-05,-0.129
48,98000,0.0,0.0,0.0,2000,0.3793,5e-05,-0.127
49,100000,0.0,0.0,0.0,2000,0.3667,5e-05,-0.124
50,102000,-0.2,0.0,-2.0,2000,0.354,4e-05,-0.125
51,104000,-0.7,0.0,-7.0,2000,0.3413,4e-05,-0.137
52,106000,-0.6,0.0,-6.0,2000,0.3287,5e-05,-0.145
53,108000,0.0,0.0,0.0,2000,0.316,4e-05,-0.143
54,110000,0.0,0.0,0.0,2000,0.3033,3e-05,-0.14
55,112000,0.0,0.0,0.0,2000,0.2907,5e-05,-0.137
56,114000,0.0,0.0,0.0,2000,0.278,7e-05,-0.135
57,116000,0.0,0.0,0.0,2000,0.2653,6e-05,-0.133
58,118000,0.0,0.0,0.0,2000,0.2527,6e-05,-0.131
59,120000,0.0,0.0,0.0,2000,0.24,5e-05,-0.128
60,122000,0.0,0.0,0.0,2000,0.2273,4e-05,-0.126
61,124000,0.0,0.0,0.0,2000,0.2147,5e-05,-0.124
62,126000,0.0,0.0,0.0,2000,0.202,5e-05,-0.122
63,128000,0.0,0.0,0.0,2000,0.1893,6e-05,-0.12
64,130000,0.0,0.0,0.0,2000,0.1767,5e-05,-0.118
65,132000,0.0,0.0,0.0,2000,0.164,4e-05,-0.117
66,134000,0.0,0.0,0.0,2000,0.1513,4e-05,-0.115
67,136000,0.0,0.0,0.0,2000,0.1387,4e-05,-0.113
68,138000,0.0,0.0,0.0,2000,0.126,5e-05,-0.112
69,140000,0.0,0.0,0.0,2000,0.1133,5e-05,-0.11
70,142000,0.0,0.0,0.0,2000,0.1007,5e-05,-0.108
71,144000,0.0,0.0,0.0,2000,0.088,4e-05,-0.107
72,146000,-0.6,0.0,-6.0,2000,0.0753,6e-05,-0.114
73,148000,0.0,0.0,0.0,2000,0.0627,6e-05,-0.112
74,150000,0.0,0.0,0.0,2000,0.05,5e-05,-0.111
75,152000,0.0,0.0,0.0,2000,0.05,4e-05,-0.109
76,154000,0.0,0.0,0.0,2000,0.05,3e-05,-0.108
77,156000,0.0,0.0,0.0,2000,0.05,2e-05,-0.106
78,158000,0.0,0.0,0.0,2000,0.05,1e-05,-0.105
79,160000,0.0,0.0,0.0,2000,0.05,1e-05,-0.104
80,162000,0.0,0.0,0.0,2000,0.05,1e-05,-0.102
81,164000,0.0,0.0,0.0,2000,0.05,1e-05,-0.101
82,166000,0.0,0.0,0.0,2000,0.05,2e-05,-0.1
83,168000,0.0,0.0,0.0,2000,0.05,1e-05,-0.099
84,170000,0.0,0.0,0.0,2000,0.05,1e-05,-0.098
85,172000,0.0,0.0,0.0,2000,0.05,1e-05,-0.097
86,174000,-0.7,0.0,-7.0,2000,0.05,1e-05,-0.103
87,176000,0.0,0.0,0.0,2000,0.05,1e-05,-0.102
88,178000,0.0,0.0,0.0,2000,0.05,1e-05,-0.101
89,180000,0.0,0.0,0.0,2000,0.05,1e-05,-0.1
90,182000,0.0,0.0,0.0,2000,0.05,1e-05,-0.099
91,184000,0.0,0.0,0.0,2000,0.05,1e-05,-0.098
92,186000,0.0,0.0,0.0,2000,0.05,1e-05,-0.097
93,188000,0.0,0.0,0.0,2000,0.05,1e-05,-0.096
94,190000,0.0,0.0,0.0,2000,0.05,1e-05,-0.095
95,192000,0.0,0.0,0.0,2000,0.05,1e-05,-0.094
96,194000,0.0,0.0,0.0,2000,0.05,1e-05,-0.093
97,196000,0.0,0.0,0.0,2000,0.05,0.0,-0.092
98,198000,0.0,0.0,0.0,2000,0.05,0.0,-0.091
99,200000,0.0,0.0,0.0,2000,0.05,1e-05,-0.09
100,202000,0.0,0.0,0.0,2000,0.05,1e-05,-0.09
